All Players   Projections Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,Rank,
W ,Aaron Judge OF | NYY,523,121,172,90,32,3,47,116,104,165,11,3,.329,.446,.671,1
Flew Over the Cuckoo's Nest,Riley Greene OF | DET ,548,81,149,84,32,2,31,95,50,175,3,1,.272,.337,.507,68
W ,Corey Seager SS | TEX,541,85,151,91,27,0,33,79,77,124,3,1,.279,.374,.512,69
Inglorious Batters,Eugenio Suarez 3B | CIN ,504,70,121,62,25,1,33,90,36,179,3,1,.240,.299,.490,70
W ,Maikel Garcia 3B | KC ,490,66,141,91,30,5,15,61,52,83,19,6,.288,.356,.461,71
Mendel Lapse,Vinnie Pasquantino 1B | KC ,492,58,132,78,27,1,26,89,44,95,1,0,.268,.331,.486,73
Highlanders II,Trevor Story SS | BOS ,504,71,138,93,25,0,20,75,29,145,26,3,.274,.321,.443,82
Mendel Lapse,Randy Arozarena OF | SEA ,529,84,130,76,32,1,21,65,58,157,27,6,.246,.345,.429,83
W ,Jarren Duran OF | BOS,550,80,150,87,36,12,15,69,49,140,24,6,.273,.343,.464,84
W ,Seiya Suzuki OF | CHC ,532,69,141,75,34,4,28,86,59,166,8,3,.265,.338,.502,85
W ,Bo Bichette SS | NYM ,567,77,166,107,38,3,18,87,44,119,6,3,.293,.345,.466,86
W ,Nico Hoerner 2B | CHC,488,71,146,108,29,3,6,46,32,49,23,6,.299,.352,.408,87
W ,Agustin Ramirez C | MIA ,506,66,122,68,32,1,21,64,37,125,13,3,.241,.302,.433,88
Casey HotDog,Jeremy Pena SS | HOU ,559,83,173,114,35,4,20,74,43,112,23,3,.309,.371,.494,91
W ,"Tyler Soderstrom 1B,OF | ATH ",519,76,145,86,30,2,27,87,47,140,8,4,.279,.350,.501,92
Casey HotDog,Michael Busch 1B | CHC,476,72,129,71,25,3,30,79,49,124,4,0,.271,.352,.525,93
W ,Michael Harris OF | ATL ,541,57,143,93,24,7,19,73,18,113,17,6,.264,.290,.440,94
W ,"Salvador Perez C,1B | KC ",461,43,119,68,26,0,25,78,28,109,0,0,.258,.314,.477,95
W ,Drake Baldwin C | ATL ,425,55,112,69,22,3,18,68,37,84,1,0,.264,.328,.457,97
W ,Willy Adames SS | SF ,531,86,137,78,27,1,31,89,62,153,14,4,.258,.337,.488,98
W ,Kyle Stowers OF | MIA ,517,79,147,84,26,4,33,83,58,162,9,2,.284,.362,.542,99
W ,"Jose Altuve 2B,OF | HOU",549,80,159,108,27,1,23,71,52,106,14,6,.290,.355,.468,100
W ,Jo Adell OF | LAA ,493,64,116,65,20,1,30,92,35,149,9,4,.235,.298,.463,101
W ,Brandon Nimmo OF | TEX,498,70,126,82,23,1,20,76,51,129,11,1,.253,.327,.424,102
W ,Luke Keaschall 2B | MIN,475,62,131,87,30,1,13,63,41,91,21,6,.276,.341,.425,103
Jayhawks,Will Smith C | LAD,459,74,132,89,24,2,17,74,58,104,2,2,.288,.372,.460,104
W ,Oneil Cruz OF | PIT,520,78,134,70,28,5,31,79,62,174,36,5,.258,.338,.510,108
W ,Teoscar Hernandez OF | LAD,486,64,133,82,27,1,23,87,33,127,7,2,.274,.323,.475,109
W ,Yandy Diaz 1B | TB ,528,74,166,113,30,2,21,85,54,81,2,1,.314,.381,.498,117
W ,Alex Bregman 3B | CHC,534,81,147,82,36,1,28,79,59,90,2,1,.275,.355,.504,118
W ,Jakob Marsee OF | MIA,493,68,136,80,36,5,15,68,48,133,22,8,.276,.344,.460,119
W ,Ozzie Albies 2B | ATL ,522,66,131,87,27,3,14,67,43,83,13,3,.251,.311,.395,120
W ,Luis Robert OF | NYM,524,88,135,85,25,0,25,85,54,159,44,12,.258,.330,.449,123
